,Bedroom,HoldType,HomeType,Price,NewBuilding,latitude,longitude
7228,3,2,3,240000.0,0,51.28992647,-2.481700554
7229,3,2,2,238500.0,0,51.28992647,-2.481700554
7230,3,2,2,235000.0,0,51.27988836864571,-2.4902555446925403
7231,3,2,4,371000.0,0,51.2905198,-2.492533935
7232,3,2,4,265000.0,0,51.28441283,-2.473283372
7233,2,1,1,169950.0,0,51.29319,-2.448247
7234,2,2,2,310000.0,0,51.298783,-2.428867
7235,2,2,2,183000.0,0,51.29070066,-2.472287
7236,2,2,2,181000.0,0,51.29070066,-2.472287
7237,3,2,3,238000.0,0,51.27823829,-2.477004799
7238,3,2,3,245000.0,0,51.27823829,-2.477004799
7239,4,2,3,274000.0,0,51.27823829,-2.477004799
7240,3,2,2,140000.0,0,51.28831442,-2.479949
7241,2,2,2,186500.0,0,51.28831442,-2.479949
7242,3,2,2,200000.0,0,51.28496425,-2.465832823
7243,4,2,4,565000.0,0,51.28699339,-2.48862452
7244,3,2,4,450000.0,0,51.28699339,-2.48862452
7245,2,2,3,184000.0,0,51.28985161,-2.475820202
7246,3,2,4,300000.0,0,51.28003361,-2.495059798
7247,3,2,3,250000.0,0,51.27983952,-2.474627065
7248,2,2,3,175000.0,0,51.27983952,-2.474627065
7249,2,2,3,189950.0,0,51.27983952,-2.474627065
7250,3,2,3,205000.0,0,51.28733801,-2.468108173
7251,4,2,4,345000.0,0,51.2912719,-2.434303811
7252,4,2,4,322000.0,0,51.2912719,-2.434303811
7253,4,2,4,285000.0,0,51.2912719,-2.434303811
7254,3,2,3,219950.0,0,51.2912719,-2.434303811
7255,4,2,3,380000.0,0,51.28914951,-2.480401803
7256,4,2,3,330000.0,0,51.28914951,-2.480401803
7257,1,1,1,107000.0,0,51.28541972,-2.484320441
7258,1,1,1,112500.0,0,51.28541972,-2.484320441
7259,1,1,1,113000.0,0,51.28541972,-2.484320441
7260,3,2,2,241000.0,0,51.294125,-2.479820461
7261,3,2,4,287000.0,0,51.27898065,-2.499507291
7262,3,2,2,194500.0,0,51.29022833,-2.441650642
7263,3,2,2,182500.0,0,51.29022833,-2.441650642
7264,3,2,2,249950.0,0,51.28555289,-2.4670432630000003
7265,2,2,2,187000.0,0,51.29378509,-2.477036896
7266,3,2,2,187000.0,0,51.28706907,-2.467904683
7267,3,2,3,242500.0,0,51.30346048,-2.459005612
7268,2,2,4,275000.0,0,51.28791788,-2.493309115
7269,2,2,3,247000.0,0,51.28791788,-2.493309115
7270,2,2,3,260000.0,0,51.28791788,-2.493309115
7271,3,2,3,240000.0,0,51.274657,-2.479004
7272,3,2,3,255000.0,0,51.27870488,-2.494572389
7273,4,2,4,325000.0,0,51.29266839,-2.48184399
7274,3,2,2,150000.0,0,51.29701821,-2.443752482
7275,3,2,3,198000.0,0,51.29009465,-2.434120613
7276,3,2,3,205000.0,0,51.29009465,-2.434120613
7277,3,2,2,192000.0,0,51.288691,-2.4560014690000003
7278,2,1,1,149500.0,0,51.288691,-2.4560014690000003
7279,3,2,2,199950.0,0,51.29115049,-2.4544371469999997
7280,2,2,2,232000.0,0,51.29410463,-2.478058472
7281,2,2,2,210000.0,0,51.29410463,-2.478058472
